name,year,position,forty_perc,three_cone_perc,vertical_perc,broad_perc,bench_perc
Kyle Allamon,2000,TE,31.0344827586207,43.8709677419355,31.9148936170213,27.0833333333333,0
Anthony Becht,2000,TE,50.8620689655172,66.4516129032258,51.0638297872341,66.6666666666667,0
Tom Brady,2000,QB,6.03448275862071,49.6774193548387,12.7659574468085,16.6666666666667,0
Demario Brown,2000,RB,54.3103448275862,51.6129032258065,40.4255319148936,33.3333333333333,0
Keith Brown,2000,RB,59.4827586206897,85.8064516129033,36.1702127659575,54.1666666666667,0
Travis Brown,2000,QB,29.3103448275862,27.741935483871,31.9148936170213,20.8333333333333,0
Marc Bulger,2000,QB,35.3448275862069,32.9032258064516,0,18.75,0
Bill Burke,2000,QB,25.8620689655172,32.9032258064516,29.7872340425532,33.3333333333333,0
Giovanni Carmazzi,2000,QB,52.5862068965517,66.4516129032258,63.8297872340426,58.3333333333333,0
Doug Chapman,2000,RB,67.2413793103448,72.9032258064516,72.3404255319149,77.0833333333334,35.2941176470588
Chris Cole,2000,WR,86.2068965517241,78.0645161290323,68.0851063829787,70.8333333333334,0
Chris Coleman,2000,WR,62.0689655172414,76.1290322580645,46.8085106382979,39.5833333333333,0
Laveranues Coles,2000,WR,76.7241379310345,69.6774193548387,53.1914893617021,50,0
JoeDean Davenport,2000,TE,18.9655172413793,41.2903225806452,36.1702127659575,35.4166666666667,26.4705882352941
JaJuan Dawson,2000,WR,70.6896551724138,65.1612903225806,53.1914893617021,54.1666666666667,0
Reuben Droughns,2000,RB,59.4827586206897,40.6451612903226,36.1702127659575,50,26.4705882352941
Kevin Feterik,2000,QB,37.0689655172414,43.2258064516129,40.4255319148936,31.25,0
Zeron Flemister,2000,TE,54.3103448275862,67.741935483871,65.9574468085106,52.0833333333333,29.4117647058824
Derrick Foster,2000,RB,79.3103448275862,72.9032258064516,55.3191489361702,54.1666666666667,44.1176470588235
Larry Foster,2000,WR,68.9655172413793,70.3225806451613,65.9574468085106,62.5,0
Justin Fuente,2000,QB,11.2068965517241,29.6774193548387,25.531914893617,18.75,0
Jason Gavadza,2000,TE,64.6551724137931,52.9032258064516,46.8085106382979,45.8333333333333,52.9411764705882
Trevor Gaylor,2000,WR,67.2413793103448,60.6451612903226,68.0851063829787,62.5,0
Dante' Hall,2000,RB,78.448275862069,87.0967741935484,70.2127659574468,66.6666666666667,41.1764705882353
Troy Hambrick,2000,RB,56.0344827586207,31.6129032258064,55.3191489361702,56.25,50
Thomas Hamner,2000,RB,71.551724137931,64.5161290322581,44.6808510638298,70.8333333333334,38.2352941176471
Windrell Hayes,2000,WR,75,41.2903225806452,0,0,0
Todd Husak,2000,QB,12.9310344827587,51.6129032258065,25.531914893617,16.6666666666667,0
Marlion Jackson,2000,RB,62.0689655172414,52.9032258064516,59.5744680851064,70.8333333333334,58.8235294117647
John Jones,2000,TE,62.9310344827587,41.2903225806452,72.3404255319149,70.8333333333334,26.4705882352941
Morgan Kane,2000,RB,63.7931034482759,74.8387096774194,68.0851063829787,62.5,73.5294117647059
Curtis Keaton,2000,RB,82.7586206896552,74.1935483870968,85.1063829787234,83.3333333333333,55.8823529411765
Sean Keenan,2000,QB,29.3103448275862,49.0322580645161,17.0212765957447,8.33333333333333,0
Marcus Knight,2000,WR,54.3103448275862,55.4838709677419,29.7872340425532,31.25,0
Charles Lee,2000,WR,66.3793103448276,43.2258064516129,59.5744680851064,70.8333333333334,0
Tim Lester,2000,QB,27.5862068965518,44.516129032258,23.4042553191489,12.5,0
Kevin McDougal,2000,RB,61.2068965517241,57.4193548387097,44.6808510638298,35.4166666666667,0
Rondell Mealey,2000,RB,58.6206896551724,69.6774193548387,48.936170212766,60.4166666666667,0
Scottie Montgomery,2000,WR,68.1034482758621,52.258064516129,61.7021276595745,54.1666666666667,0
Wendell Montgomery,2000,WR,45.6896551724138,61.9354838709678,59.5744680851064,54.1666666666667,0
Muneer Moore,2000,WR,73.2758620689656,68.3870967741935,68.0851063829787,79.1666666666667,0
Sylvester Morris,2000,WR,63.7931034482759,58.7096774193549,55.3191489361702,58.3333333333333,0
Dennis Northcutt,2000,WR,78.448275862069,65.1612903225806,68.0851063829787,66.6666666666667,0
Chad Pennington,2000,QB,44.8275862068966,54.8387096774193,51.0638297872341,41.6666666666667,0
Mareno Philyaw,2000,WR,58.6206896551724,67.0967741935484,76.5957446808511,79.1666666666667,0
Travis Prentice,2000,RB,75,67.741935483871,65.9574468085106,50,55.8823529411765
Tim Rattay,2000,QB,37.9310344827587,40.6451612903226,17.0212765957447,18.75,0
Chris Redman,2000,QB,0,10.9677419354839,21.2765957446809,14.5833333333333,0
Phillip Rogers,2000,RB,55.1724137931034,49.0322580645161,65.9574468085106,68.75,44.1176470588235
Ketric Sanford,2000,RB,64.6551724137931,86.4516129032258,44.6808510638298,56.25,23.5294117647059
Rashon Spikes,2000,RB,45.6896551724138,50.9677419354839,48.936170212766,45.8333333333333,26.4705882352941
Dave Stachelski,2000,TE,44.8275862068966,72.9032258064516,70.2127659574468,50,58.8235294117647
Shyrone Stith,2000,RB,62.0689655172414,53.5483870967742,57.4468085106383,41.6666666666667,26.4705882352941
Travis Taylor,2000,WR,81.0344827586207,52.9032258064516,65.9574468085106,56.25,0
Troy Walters,2000,WR,70.6896551724138,87.7419354838709,46.8085106382979,31.25,0
James Whalen,2000,TE,50,35.4838709677419,40.4255319148936,39.5833333333333,0
Austin Wheatley,2000,TE,58.6206896551724,64.5161290322581,46.8085106382979,62.5,0
Anthony White,2000,RB,57.7586206896552,59.3548387096774,46.8085106382979,56.25,0
Dez White,2000,WR,64.6551724137931,68.3870967741935,68.0851063829787,68.75,0
James Williams,2000,WR,66.3793103448276,48.3870967741936,61.7021276595745,66.6666666666667,0
Destry Wright,2000,RB,42.2413793103448,52.9032258064516,34.0425531914894,43.75,32.3529411764706
Spergon Wynn,2000,QB,36.2068965517241,16.7741935483871,53.1914893617021,35.4166666666667,0
Bashir Yamini,2000,WR,70.6896551724138,56.7741935483871,48.936170212766,81.25,0
Billy Baber,2001,TE,51.7241379310345,54.8387096774193,48.936170212766,31.25,52.9411764705882
Jonathan Beasley,2001,QB,44.8275862068966,27.0967741935484,34.0425531914894,22.9166666666667,0
Eddie Berlin,2001,WR,80.1724137931034,76.7741935483871,76.5957446808511,64.5833333333334,0
